# epoch,disc_loss_epoch,gan_loss_epoch
5.200000000000000000e+01,1.491355895996093750e+00,7.671079635620117188e+00
5.300000000000000000e+01,2.485637217760086060e-01,1.664587783813476562e+01
5.400000000000000000e+01,2.749182283878326416e-01,7.525470733642578125e+00
5.500000000000000000e+01,1.003412157297134399e-01,9.343597412109375000e+00
5.600000000000000000e+01,1.547702401876449585e-01,7.318312168121337891e+00
5.700000000000000000e+01,1.350252330303192139e-01,8.680378913879394531e+00
5.800000000000000000e+01,5.301490426063537598e-01,1.951736640930175781e+01
5.900000000000000000e+01,8.190412521362304688e-01,1.331609725952148438e+01
6.000000000000000000e+01,3.650920391082763672e-01,5.500206947326660156e+00
6.100000000000000000e+01,3.360864222049713135e-01,8.719594955444335938e+00
6.200000000000000000e+01,3.405737280845642090e-01,1.163844871520996094e+01
6.300000000000000000e+01,2.731068432331085205e-01,1.600735282897949219e+01
6.400000000000000000e+01,2.081610262393951416e-01,1.033220291137695312e+01
6.500000000000000000e+01,3.017818182706832886e-02,7.347368240356445312e+00
6.600000000000000000e+01,2.109801024198532104e-01,1.119228076934814453e+01
6.700000000000000000e+01,5.608872696757316589e-02,1.050421905517578125e+01
6.800000000000000000e+01,1.081597357988357544e-01,8.474637985229492188e+00
6.900000000000000000e+01,1.272749900817871094e-01,5.846286296844482422e+00
7.000000000000000000e+01,8.760696649551391602e-02,7.380671501159667969e+00
7.100000000000000000e+01,1.509313344955444336e+00,1.513076972961425781e+01
7.200000000000000000e+01,4.279382526874542236e-01,7.670186996459960938e+00
7.300000000000000000e+01,1.544304639101028442e-01,8.689708709716796875e+00
7.400000000000000000e+01,1.114610582590103149e-01,9.492187500000000000e+00
7.500000000000000000e+01,4.076870083808898926e-01,5.312473773956298828e+00
7.600000000000000000e+01,1.765008270740509033e-01,6.447857379913330078e+00
7.700000000000000000e+01,1.638959348201751709e-01,5.938607215881347656e+00
7.800000000000000000e+01,2.610571980476379395e-01,5.755736351013183594e+00
7.900000000000000000e+01,5.859272927045822144e-02,8.576097488403320312e+00
8.000000000000000000e+01,1.119214966893196106e-01,8.198793411254882812e+00
8.100000000000000000e+01,1.906768977642059326e-01,5.262849807739257812e+00
8.200000000000000000e+01,5.081021785736083984e-02,6.576678276062011719e+00
8.300000000000000000e+01,6.549528241157531738e-02,7.858761310577392578e+00
8.400000000000000000e+01,7.518174499273300171e-02,8.267087936401367188e+00
8.500000000000000000e+01,6.609410047531127930e-02,1.462132644653320312e+01
8.600000000000000000e+01,3.535926938056945801e-01,1.657125663757324219e+01
8.700000000000000000e+01,0.000000000000000000e+00,3.928695983886718750e+02
8.800000000000000000e+01,2.499288320541381836e+00,4.180295181274414062e+01
8.900000000000000000e+01,7.988866806030273438e+00,1.886775970458984375e+02
9.000000000000000000e+01,9.086635589599609375e+00,6.408554077148437500e+01
9.100000000000000000e+01,4.357140541076660156e+00,6.371543502807617188e+01
9.200000000000000000e+01,2.375783443450927734e+00,6.028203582763671875e+01
9.300000000000000000e+01,1.739156484603881836e+00,7.210877990722656250e+01
9.400000000000000000e+01,4.025038719177246094e+00,5.891719055175781250e+01
9.500000000000000000e+01,9.233090281486511230e-01,7.748906707763671875e+01
9.600000000000000000e+01,1.473285555839538574e+00,5.272348022460937500e+01
9.700000000000000000e+01,4.761770248413085938e+00,4.983122634887695312e+01
9.800000000000000000e+01,2.790790081024169922e+00,4.461321258544921875e+01
9.900000000000000000e+01,2.161456108093261719e+00,4.809009170532226562e+01
1.000000000000000000e+02,1.295972585678100586e+00,5.390445709228515625e+01
